xx.yy.zz.ww		GET	200	application/javascript	234B	72ms
					
278839520115563000	GET	101	undefined		30B	2.0min
					
278839520115563000	GET	200	text/plain		159B	2.3min
					
278839520115563000	GET	200	text/javascript		166B	20.40s
					
278839520115563000	GET	200	text/javascript		166B	20.06s
					
278839520115563000	GET	200	text/javascript		166B	20.07s
					
278839520115563000	GET	200	text/javascript		166B	20.08s
					
278839520115563000	GET	200	text/javascript		166B	20.07s
					
278839520115563000	GET	(failed)	undefined		30B	1.6min
278839520115563000	GET	200	text/plain		159B	20.09s
					
278839520115563000	GET	200	text/plain		159B	20.12s
					
278839520115563000	GET	200	text/plain		159B	20.06s
					
278839520115563000	GET	(canceled)	undefined	30B	5.03s
