Firm Name,Investment Sector,Location (City),Investment Stage,URL
1776,"Technology, Health, Transportation, Energy, Education","Washington, D.C.","Early Stage Venture, Seed",https://www.1776.vc/
11.2 Capital,"Healthcare, Security, Finance","San Francisco, CA","Early Stage, Seed",http://www.112capital.com/
122 West Ventures,"Information Technology, Telecoms, Media, and Communications","San Francisco, CA",Early Stage,122west.vc/
1517 Fund,"Clean Technology, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.1517fund.com
1confirmation,Financial Services,"San Francisco, CA","Early Stage Venture, Seed",www.1confirmation.com
3Rodeo,"Business Services, Information Technology, Telecoms, Media, and Communications","Los Angeles, CA","Early Stage, Early Stage: Seed",www.3rodeo.com
4490 Ventures,"Technology, Financial Services, Agriculture, Education","Madison, WI","Early Stage Venture, Seed",http://www.4490.ventures
50 Years,"Financial Services, Business Services, Insurance, Fintech","San Francisco, CA",Early Stage,http://www.fifty.vc/
500 Startups,"Technology, Health, Financial Services, Education, Media","Mountain View, CA","Early Stage Venture, Seed",http://www.500.co
645 Ventures,Technology,"New York, NY","Early Stage Venture, Seed",http://www.645ventures.com
7 Gate Ventures,"Healthcare, Technology, Internet, Security","San Francisco, CA","Early Stage Venture, Seed",www.7gate.vc
7 Seas Ventures,"Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","Menlo Park, CA","Early Stage, Expansion / Late Stage, Growth, Venture (General)",www.7seasvc.com
9Mile Labs,"Technology, Media","Seattle, WA","Early Stage Venture, Seed",www.9milelabs.com
A Capital Partners,Technology,"Menlo Park, CA",Early Stage Venture,www.acapitalvc.com
A-Force Ventures,"Travel, Health, Entertainment, Consumer Products, Fashion, Education","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",https://www.aforceventures.com/
Accele Biopharma,"Pharmaceuticals, Technology","Oklahoma City, OK",Early Stage Venture,http://www.accelebio.com
