Project,Repo,Project license,Repo License,Sourcerank
NPM/fbjs,https://github.com/facebook/fbjs,MIT,BSD-3-Clause,23
NPM/walk,https://github.com/Daplie/node-walk,"MIT,Apache-2.0",Apache-2.0,22
NPM/vis,https://github.com/almende/vis,MIT,Apache-2.0,20
NPM/mdi,https://github.com/Templarian/MaterialDesign-Webfont,"OFL-1.1,MIT",OFL-1.1,19
NPM/supervisor,https://github.com/petruisfan/node-supervisor,MIT,BSD-2-Clause,19
NPM/azure-arm-resource,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,19
NPM/email-validator,https://github.com/Sembiance/email-validator,MIT,Unlicense,19
NPM/eslint-config-fbjs,https://github.com/facebook/fbjs,MIT,BSD-3-Clause,19
NPM/ms-rest,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,19
NPM/grunt-curl,https://github.com/twolfson/grunt-curl,MIT,Unlicense,18
NPM/weak,https://github.com/TooTallNate/node-weak,MIT,ISC,18
NPM/xpath,https://github.com/goto100/xpath,MIT,CC-BY-4.0,18
NPM/node-xmpp,https://github.com/xmppjs/xmpp.js,MIT,ISC,18
NPM/ms-rest-azure,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,18
NPM/statsd-client,https://github.com/msiebuhr/node-statsd-client,MIT,ISC,17
NPM/azure-arm-rediscache,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-arm-network,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/docxtemplater,https://github.com/open-xml-templating/docxtemplater,MIT,GPL-3.0,17
NPM/strip-dirs,https://github.com/shinnn/node-strip-dirs,MIT,ISC,17
NPM/azure-arm-authorization,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-arm-compute,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-arm-cdn,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/serviceworker-cache-polyfill,https://github.com/dominiccooney/cache-polyfill,MIT,Apache-2.0,17
NPM/azure-arm-datalake-store,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/node-xmpp-core,https://github.com/xmppjs/xmpp.js,MIT,ISC,17
NPM/azure-arm-datalake-analytics,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/node-xmpp-client,https://github.com/xmppjs/xmpp.js,MIT,ISC,17
NPM/azure-arm-trafficmanager,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-arm-dns,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-arm-storage,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-arm-website,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/throttle-debounce,https://github.com/niksy/throttle-debounce,MIT,GPL-2.0,17
NPM/azure-graph,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,17
NPM/azure-keyvault,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,16
NPM/grunt-critical,https://github.com/bezoerb/grunt-critical,MIT,BSD-3-Clause,16
NPM/editorconfig-tools,https://github.com/slang800/editorconfig-tools,MIT,GPL-3.0,16
NPM/malta,https://github.com/fedeghe/malta,MIT,GPL-2.0,16
NPM/karma-es6-shim,https://github.com/radify/karma-es6-shim,MIT,BSD-3-Clause,16
NPM/azure-arm-commerce,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,16
NPM/geojson-utils,https://github.com/maxogden/geojson-js-utils,MIT,BSD-2-Clause,16
NPM/system,https://github.com/gutentags/system,MIT,BSD-3-Clause,16
NPM/favico.js,https://github.com/ejci/favico.js,MIT,GPL-2.0,16
NPM/font-awesome-stylus,https://github.com/raulghm/Font-Awesome-Stylus,MIT,GPL-2.0,16
NPM/better-react-spinkit,https://github.com/bentatum/better-react-spinkit,MIT,ISC,16
NPM/moment-parseformat,https://github.com/gr2m/moment-parseformat,MIT,Apache-2.0,15
NPM/rc-editor-core,https://github.com/react-component/editor-core,MIT,BSD-3-Clause,15
NPM/domain,https://github.com/liangzeng/cqrs,MIT,GPL-2.0,15
NPM/azure-batch,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,15
NPM/azure-arm-batch,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,15
NPM/tinper-neoui,https://github.com/iuap-design/tinper-neoui,MIT,BSD-2-Clause,15
NPM/azure-arm-insights,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,15
NPM/md-date-time-picker,https://github.com/puranjayjain/md-date-time-picker,MIT,Apache-2.0,15
NPM/yelp,https://github.com/olalonde/node-yelp,MIT,BSD-3-Clause,15
NPM/jszip-utils,https://github.com/Stuk/jszip-utils,MIT,GPL-3.0,15
NPM/color-space,https://github.com/colorjs/color-space,MIT,Unlicense,15
NPM/inline-critical,https://github.com/bezoerb/inline-critical,MIT,BSD-3-Clause,15
NPM/vue-video-player,https://github.com/surmon-china/vue-video-player,MIT,GPL-3.0,15
NPM/shortcake,https://github.com/sakejs/sake-core,MIT,BSD-3-Clause,15
NPM/spritesheet-templates,https://github.com/twolfson/spritesheet-templates,MIT,Unlicense,15
NPM/node-xmpp-server,https://github.com/xmppjs/xmpp.js,MIT,ISC,15
NPM/tarball-extract,https://github.com/matsieftw/tarball-extract,MIT,BSD-3-Clause,15
NPM/node-xmpp-component,https://github.com/xmppjs/xmpp.js,MIT,ISC,15
NPM/jpush-sdk,https://github.com/jpush/jpush-api-nodejs-client,MIT,GPL-2.0,15
NPM/azure-arm-keyvault,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,15
NPM/frb,https://github.com/montagejs/frb,MIT,BSD-3-Clause,15
NPM/ydoc,https://github.com/YMFE/ydoc,MIT,Apache-2.0,14
NPM/teasim-helpers,https://github.com/teasim/helpers,MIT,BSD-3-Clause,14
NPM/svg-points,https://github.com/colinmeinke/svg-points,MIT,ISC,14
NPM/nice-route53,https://github.com/chilts/nice-route53,MIT,Apache-2.0,14
NPM/azure-arm-intune,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,14
NPM/react-style,https://github.com/js-next/react-style,MIT,"",14
NPM/twgl.js,https://github.com/greggman/twgl.js,MIT,BSD-3-Clause,14
NPM/cake-version,https://github.com/sakejs/sake-version,MIT,BSD-3-Clause,14
NPM/json2css,https://github.com/twolfson/spritesheet-templates,MIT,Unlicense,14
NPM/azure-servicefabric,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,14
NPM/metalsmith-jade,https://github.com/ahmadnassri/metalsmith-pug,MIT,ISC,14
NPM/paginator,https://github.com/deoxxa/paginator,MIT,BSD-3-Clause,14
NPM/shred,https://github.com/pandastrike/shred,MIT,ISC,14
NPM/formaline,https://github.com/coolaj86/formaline,MIT,Apache-2.0,14
NPM/express-myconnection,https://github.com/pwalczyszyn/express-myconnection,MIT,Apache-2.0,14
NPM/compute-cluster,https://github.com/lloyd/node-compute-cluster,"MIT,Zed",ISC,14
NPM/event-to-promise,https://github.com/JsCommunity/event-to-promise,MIT,ISC,14
NPM/bless,https://github.com/BlessCSS/bless,MIT,Apache-2.0,14
NPM/ipld-dag-pb,https://github.com/ipld/js-ipld-dag-pb,MIT,ISC,14
NPM/azure-arm-servicefabric,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,14
NPM/react-media-player,https://github.com/souporserious/react-media-player,MIT,ISC,14
NPM/cake-publish,https://github.com/sakejs/sake-publish,MIT,BSD-3-Clause,13
NPM/azure-arm-iothub,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,13
NPM/hexo-math,https://github.com/hexojs/hexo-math,MIT,GPL-2.0,13
NPM/typeis,https://github.com/typeis/typeisjs,MIT,"",13
NPM/clues,https://github.com/ZJONSSON/clues,MIT,BSD-3-Clause,13
NPM/ng-mask,https://github.com/candreoliveira/ngMask,MIT,ISC,13
NPM/typeset,https://github.com/davidmerfield/Typeset,MIT,CC0-1.0,13
NPM/lrm-mapzen,https://github.com/mapzen/lrm-mapzen,MIT,ISC,13
NPM/scroll-depth,https://github.com/robflaherty/jquery-scrolldepth,MIT,GPL-3.0,13
NPM/gulp-rev-easy,https://github.com/timtian/gulp-rev-easy,MIT,ISC,13
NPM/octotree,https://github.com/buunguyen/octotree,MIT,AGPL-3.0,13
NPM/reproject,https://github.com/perliedman/reproject,MIT,BSD-2-Clause,13
NPM/asm.js,https://github.com/dherman/asm.js,MIT,Apache-2.0,13
NPM/azure-arm-devtestlabs,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,13
NPM/mimelib-noiconv,https://github.com/andris9/mimelib,MIT,EUPL-1.1,13
NPM/azure-arm-powerbiembedded,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,13
NPM/uploadcare-widget,https://github.com/uploadcare/uploadcare-widget,MIT,BSD-2-Clause,13
NPM/climate-si7020,https://github.com/tessel/climate-si7020,"MIT,Apache-2.0",Apache-2.0,13
NPM/pgp-utils,https://github.com/keybase/pgp-utils,MIT,BSD-3-Clause,13
NPM/azure-arm-servermanagement,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,13
NPM/cycle-scripts,https://github.com/cyclejs-community/create-cycle-app,MIT,ISC,13
NPM/twgl-base.js,https://github.com/greggman/twgl.js,MIT,BSD-3-Clause,13
NPM/easemob-websdk,https://github.com/easemob/web-im,MIT,Apache-2.0,13
NPM/react-travel,https://github.com/souporserious/react-travel,MIT,ISC,13
NPM/parallel,https://github.com/flesler/parallel,MIT,BSD-3-Clause,13
NPM/@shinnn/eslintrc-node,https://github.com/shinnn/eslint-config-node,MIT,ISC,13
NPM/streamz,https://github.com/ZJONSSON/streamz,MIT,BSD-3-Clause,13
NPM/redis-connection-pool,https://github.com/silverbucket/node-redis-connection-pool,MIT,LGPL-3.0,13
NPM/interpolation,https://github.com/mattdesl/interpolation,MIT,BSD-3-Clause,12
NPM/motion-runtime,https://github.com/steelbrain/motion,MIT,MPL-2.0,12
NPM/function-name,https://github.com/TooTallNate/node-function-name,MIT,ISC,12
NPM/metro,https://github.com/facebook/metro,MIT,BSD-3-Clause,12
NPM/now-bindist,https://github.com/zeit/now-cli,MIT,Apache-2.0,12
NPM/teasim-assists,https://github.com/teasim/assists,MIT,BSD-3-Clause,12
NPM/pacta,https://github.com/mudge/pacta,MIT,BSD-3-Clause,12
NPM/azure-arm-eventhub,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,12
NPM/react-render-server,https://github.com/gaearon/react-transform-boilerplate,MIT,CC0-1.0,12
NPM/consolelog,https://github.com/patik/console.log-wrapper,MIT,ISC,12
NPM/mqstreams,https://github.com/mcollina/mqstreams,MIT,ISC,12
NPM/cake-test,https://github.com/sakejs/sake-test,MIT,BSD-3-Clause,12
NPM/jquery-timepicker,https://github.com/wvega/timepicker,MIT,GPL-2.0,12
NPM/teasim,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/teasim-formalize,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/teasim-core,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/kdb-tree-store,https://github.com/peermaps/kdb-tree-store,MIT,BSD-2-Clause,12
NPM/sixpack-client,https://github.com/sixpack/sixpack-js,MIT,BSD-3-Clause,12
NPM/teasim-less,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/cordova-plugin-ionic-file,https://github.com/apache/cordova-plugin-file,MIT,Apache-2.0,12
NPM/docxtemplater-image-module,https://github.com/open-xml-templating/docxtemplater-image-module,MIT,GPL-3.0,12
NPM/generate-json-webpack-plugin,https://github.com/elliottsj/generate-json-webpack-plugin,MIT,ISC,12
NPM/teasim-form,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/teasim-chart,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/cordova-plugin-email,https://github.com/hypery2k/cordova-email-plugin,MIT,Apache-2.0,12
NPM/teasim-plugins,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/teasim-icon,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/azure-arm-sb,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,12
NPM/robinhood,https://github.com/aurbano/robinhood-node,MIT,AGPL-3.0,12
NPM/grunt-jsmin-sourcemap,https://github.com/twolfson/grunt-jsmin-sourcemap,MIT,Unlicense,12
NPM/flux-react,https://github.com/christianalfoni/flux-react,MIT,Apache-2.0,12
NPM/grunt-zopfli,https://github.com/mathiasbynens/grunt-zopfli,"MIT,GPL-2.0+",GPL-2.0,12
NPM/l10ns,https://github.com/tinganho/l10ns,MIT,Apache-2.0,12
NPM/gloss,https://github.com/motion/gloss,MIT,MPL-2.0,12
NPM/cordova-plugin-media-retrieve,https://github.com/apache/cordova-plugin-camera,MIT,Apache-2.0,12
NPM/immutable-class,https://github.com/implydata/immutable-class,MIT,Apache-2.0,12
NPM/@jxnblk/simple-icons,https://github.com/simple-icons/simple-icons,MIT,CC0-1.0,12
NPM/sqlite3-offline,https://github.com/DenisCarriere/sqlite3-offline,MIT,BSD-3-Clause,12
NPM/botgram,https://github.com/botgram/botgram,MIT,ISC,12
NPM/jquery.appendgrid,https://github.com/hkalbertl/jquery.appendGrid,MIT,LGPL-3.0,12
NPM/simplify-path,https://github.com/mattdesl/simplify-path,MIT,BSD-2-Clause,12
NPM/uploadcare-widget-2,https://github.com/uploadcare/uploadcare-widget,MIT,BSD-2-Clause,12
NPM/vigour-config,https://github.com/vigour-io/vjs,MIT,ISC,12
NPM/0x,https://github.com/davidmarkclements/0x,MIT,Apache-2.0,12
NPM/mhash,https://github.com/Sembiance/mhash,MIT,Unlicense,12
NPM/flab,https://github.com/redfin/react-server,MIT,Apache-2.0,12
NPM/pivotal-atom-languageclient-commons,https://github.com/spring-projects/sts4,MIT,EPL-1.0,12
NPM/jstroem-angular-intro.js,https://github.com/mendhak/angular-intro.js,MIT,AGPL-3.0,12
NPM/pathseg,https://github.com/progers/pathseg,MIT,BSD-3-Clause,12
NPM/suicrux,https://github.com/Metnew/suicrux,MIT,Apache-2.0,12
NPM/hexo-theme-material-indigo,https://github.com/yscoder/hexo-theme-indigo,MIT,Unlicense,12
NPM/robust-callbacks,https://github.com/Originate/robust-callbacks,MIT,ISC,12
NPM/deck-of-cards,https://github.com/pakastin/deck-of-cards,MIT,LGPL-3.0,12
NPM/babel-preset-motion,https://github.com/steelbrain/motion,MIT,MPL-2.0,12
NPM/autolint,https://github.com/magnars/autolint,"MIT,BSD-3-Clause",BSD-2-Clause,12
NPM/lru-cache-plus,https://github.com/isaacs/node-lru-cache,MIT,ISC,12
NPM/flint,https://github.com/steelbrain/motion,MIT,MPL-2.0,12
NPM/lacona,https://github.com/laconalabs/elliptical,MIT,Apache-2.0,12
NPM/azure-arm-scheduler,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,12
NPM/ykit,https://github.com/YMFE/ykit,MIT,Apache-2.0,12
NPM/multipage-webpack-plugin,https://github.com/mutualofomaha/multipage-webpack-plugin,MIT,Apache-2.0,12
NPM/crowdstart.js,https://github.com/hanzoai/hanzo.js,MIT,BSD-3-Clause,12
NPM/npm-cli-path,https://github.com/shinnn/npm-cli-path,MIT,ISC,12
NPM/katavorio,https://github.com/jsplumb/katavorio,"MIT,GPL-2.0",GPL-2.0,12
NPM/teasim-player,https://github.com/teasim/teasim,MIT,BSD-3-Clause,12
NPM/zmq-prebuilt,https://github.com/rgbkrk/zmq-prebuilt,MIT,BSD-3-Clause,12
NPM/generator-angular-2-app,https://github.com/Homebrew/legacy-homebrew,MIT,BSD-2-Clause,12
NPM/StringScanner,https://github.com/michaelficarra/cjs-string-scanner,MIT,BSD-3-Clause,12
NPM/browserify-sha3,https://github.com/wanderer/browserify-sha3,MIT,GPL-2.0,12
NPM/china-division,https://github.com/modood/Administrative-divisions-of-China,MIT,WTFPL,12
NPM/cqrs,https://github.com/liangzeng/cqrs,MIT,GPL-2.0,12
NPM/jscs-bem,https://github.com/bem/jscs-bem,MIT,MPL-2.0,12
NPM/scissors,https://github.com/tcr/scissors,MIT,Apache-2.0,12
NPM/cordova-plugin-sscthemeablebrowser,https://github.com/initialxy/cordova-plugin-themeablebrowser,MIT,Apache-2.0,11
NPM/test.it,https://github.com/titulus/test.it,MIT,Unlicense,11
NPM/lix.pm,https://github.com/lix-pm/lix.client,MIT,Unlicense,11
NPM/rand-paul,https://github.com/trmml/rand-paul,MIT,WTFPL,11
NPM/webpack-for-babel-plugin,https://github.com/gaearon/react-transform-boilerplate,MIT,CC0-1.0,11
NPM/react-countdown-timer,https://github.com/uken/react-countdown-timer,MIT,Apache-2.0,11
NPM/node-xmpp-tmp,https://github.com/xmppjs/xmpp.js,MIT,ISC,11
NPM/gif-encoder,https://github.com/twolfson/gif-encoder,MIT,Unlicense,11
NPM/tiptoe,https://github.com/Sembiance/tiptoe,MIT,Unlicense,11
NPM/sjl,https://github.com/NicolaOrritos/sjl,MIT,Apache-2.0,11
NPM/nodeerrors,https://github.com/ebdrup/nodeerrors,MIT,Apache-2.0,11
NPM/aws-sdk-promise,https://github.com/taskcluster/aws-sdk-promise,MIT,MPL-2.0,11
NPM/turboscript,https://github.com/01alchemist/TurboScript,MIT,Apache-2.0,11
NPM/topcoat-grid,https://github.com/topcoat/grid,"MIT,Apache-2.0",Apache-2.0,11
NPM/easynode-watch,https://github.com/petruisfan/node-supervisor,MIT,BSD-2-Clause,11
NPM/aurelia-froala-editor,https://github.com/froala/aurelia-froala-editor,MIT,Apache-2.0,11
NPM/chai-leaflet,https://github.com/jieter/chai-leaflet,MIT,BSD-2-Clause,11
NPM/merge-jsons-webpack-plugin,https://github.com/tettusud/merge-jsons-webpack-plugin,MIT,Apache-2.0,11
NPM/atomic-emitter,https://github.com/marcelklehr/atomic-emitter,MIT,GPL-3.0,11
NPM/luminous-lightbox,https://github.com/imgix/luminous,MIT,BSD-2-Clause,11
NPM/vigour-state,https://github.com/vigour-io/state,MIT,ISC,11
NPM/angular-split,https://github.com/bertrandg/angular-split,MIT,Apache-2.0,11
NPM/sync-runner,https://github.com/XadillaX/syncRunner,MIT,GPL-2.0,11
NPM/xlsx-rows,https://github.com/indexzero/xlsx-rows,MIT,Apache-2.0,11
NPM/eventmap,https://github.com/freezedev/eventmap,MIT,Unlicense,11
NPM/ics2.0,https://github.com/adamgibbons/ics,MIT,ISC,11
NPM/react-native-bluetooth-state,https://github.com/frostney/react-native-bluetooth-state,MIT,Unlicense,11
NPM/sjljs,https://github.com/elycruz/sjljs,MIT,GPL-3.0,11
NPM/ng-slimscroll,https://github.com/jkuri/ngSlimscroll,MIT,GPL-2.0,11
NPM/console-log-wrapper,https://github.com/patik/console.log-wrapper,MIT,ISC,11
NPM/sharer.js,https://github.com/ellisonleao/sharer.js,MIT,GPL-3.0,11
NPM/capnp,https://github.com/capnproto/node-capnp,MIT,BSD-2-Clause,11
NPM/iced-lock,https://github.com/maxtaco/iced-lock,MIT,BSD-3-Clause,11
NPM/persistence,https://github.com/zendesk/persistence,MIT,Apache-2.0,11
NPM/nota,https://github.com/aerix-nl/nota,MIT,BSD-3-Clause,11
NPM/scope-chains-closures,https://github.com/workshopper/scope-chains-closures,MIT,ISC,11
NPM/sn-core,https://github.com/smithee-us/sn-core,MIT,BSD-3-Clause,11
NPM/optimizely-node-client,https://github.com/FunnelEnvy/optimizely-node,MIT,Apache-2.0,11
NPM/fis3-deploy-replace,https://github.com/fex-team/fis3-deploy-replace,MIT,BSD-2-Clause,11
NPM/motion-webpack-fs,https://github.com/steelbrain/motion,MIT,MPL-2.0,11
NPM/salient,https://github.com/nyxtom/salient,MIT,GPL-2.0,11
NPM/node-netcat,https://github.com/joaquimserafim/node-netcat,MIT,ISC,11
NPM/statusdashboard,https://github.com/statusdashboard/statusdashboard,MIT,Apache-2.0,11
NPM/sunlight-congress-api,https://github.com/mcwhittemore/sunlight-congress-api,MIT,BSD-3-Clause,11
NPM/nape,https://github.com/deltaluca/nape,MIT,BSD-2-Clause,11
NPM/phantomjs2-ext,https://github.com/gskachkov/phantomjs2,MIT,Apache-2.0,11
NPM/json-schema-converter,https://github.com/Clever/ARCHIVED-json-schema-converter,MIT,Apache-2.0,11
NPM/react-router-to-array,https://github.com/alansouzati/react-router-to-array,MIT,Apache-2.0,11
NPM/jethro,https://github.com/JethroLogger/Jethro,MIT,LGPL-3.0,11
NPM/twreporter-react,https://github.com/twreporter/twreporter-react,MIT,AGPL-3.0,11
NPM/climate-si7005,https://github.com/tessel/climate-si7005,"MIT,Apache-2.0",Apache-2.0,11
NPM/ava-ia,https://github.com/ava-ia/core,MIT,GPL-3.0,11
NPM/asciichart,https://github.com/kroitor/asciichart,MIT,Unlicense,11
NPM/jscs-angular,https://github.com/tregusti/jscs-angular,MIT,ISC,11
NPM/learn-generators,https://github.com/isRuslan/learn-generators,MIT,BSD-3-Clause,11
NPM/teasim-styles,https://github.com/teasim/styles,MIT,BSD-3-Clause,11
NPM/teasim-presets,https://github.com/teasim/presets,MIT,BSD-3-Clause,11
NPM/ts-xlsx,https://github.com/DxCx/ts-xlsx,MIT,AGPL-3.0,11
NPM/sync-queue,https://github.com/tessel/sync-queue,MIT,BSD-3-Clause,11
NPM/ocbesbn-config,https://github.com/OpusCapita/config,MIT,Apache-2.0,11
NPM/@shinnn/eslintrc,https://github.com/shinnn/eslint-config,MIT,ISC,11
NPM/servo-pca9685,https://github.com/tessel/servo-pca9685,MIT,Apache-2.0,11
