place,stateAbbr,Rank,county,state,stateFips,countyFips,placeFips,censusPlaceType,placeSym,zip,latitude,longitude
Fishers,IN,1,Hamilton,INDIANA,18,57,23278,Incorporated Place,A,46037,39.96,-85.94
Allen,TX,2,Collin,TEXAS,48,85,1924,Incorporated Place,A,75002,33.092846,-96.62447
Monterey Park,CA,3,Los Angeles,CALIFORNIA,6,37,48914,Incorporated Place,A,91754,34.048207,-118.14161
Franklin,TN,4,Williamson,TENNESSEE,47,187,27740,Incorporated Place,A,37064,35.893823,-86.89919
Olive Branch,MS,5,DeSoto,MISSISSIPPI,28,33,54040,Incorporated Place,A,38654,34.954106,-89.83743
Dickenson,ND,6,Stark,NORTH DAKOTA,38,89,19620,Unknown,Unknown,58601,46.879176,-102.789624
Lone Tree,CO,7,Douglas,COLORADO,8,35,45955,Incorporated Place,A,80130,39.541571,-104.92152
North Arlington,NJ,8,Bergen,NEW JERSEY,34,3,52320,Unknown,Unknown,7031,40.791895,-74.13254
Schaumburg,IL,9,Cook,ILLINOIS,17,31,68003,Unknown,Unknown,60159,41.811929,-87.68732
Bozeman,MT,10,Gallatin,MONTANA,30,31,8950,Incorporated Place,A,59715,45.707153,-110.9878
New Berlin,WI,11,Waukesha,WISCONSIN,55,133,56375,County Subdivision,F,53146,42.973663,-88.15414
Beaverton,OR,12,Washington,OREGON,41,67,5350,Incorporated Place,A,97005,45.49106,-122.80359
Waltham,MA,13,Middlesex,MASSACHUSETTS,25,17,72600,County Subdivision,F,2154,42.388938,-71.2398
Orem,UT,14,Utah,UTAH,49,49,57300,Incorporated Place,A,84057,40.311854,-111.70561
Saint Peters,MO,15,St. Charles ,MISSOURI,29,183,65126,Unknown,Unknown,63376,38.778579,-90.62045
Carmel,IN,16,Hamilton,INDIANA,18,57,10342,Incorporated Place,A,46032,39.970241,-86.15416
Avon,IN,17,Hendricks,INDIANA,18,63,2908,Incorporated Place,A,46123,39.764436,-86.39699
Santa Monica,CA,18,Los Angeles,CALIFORNIA,6,37,70000,Incorporated Place,A,90401,34.01491,-118.4922
Grapevine,TX,19,Tarrant,TEXAS,48,439,30644,Incorporated Place,A,76051,32.93195,-97.08498
Wylie,TX,20,Collin,TEXAS,48,85,80356,Incorporated Place,A,75098,33.011975,-96.53607
Brentwood,TN,21,Williamson,TENNESSEE,47,187,8280,Incorporated Place,A,37024,35.874553,-86.907565
Greenwood,IN,22,Johnson,INDIANA,18,81,29898,Incorporated Place,A,46142,39.62068,-86.15126
