Gem name, Owners, Dependent Open Source Repos
tzinfo,1,350440
rack-test,1,348858
erubis,1,325516
uglifier,1,310311
minitest,1,292603
hike,1,177082
polyglot,1,152351
byebug,1,148909
debug_inspector,1,140038
coderay,1,108906
slop,1,99690
addressable,1,99657
rack-ssl,1,66808
mime-types-data,1,65518
tzinfo-data,1,53023
websocket-driver,1,43148
launchy,1,43041
faker,1,42731
safe_yaml,1,42132
websocket-extensions,1,40217
kramdown,1,40022
daemons,1,39500
multi_xml,1,39339
redcarpet,1,38919
nio4r,1,38518
formatador,1,36931
better_errors,1,36718
will_paginate,1,32510
lumberjack,1,28842
rack-mount,1,27335
debugger-linecache,1,26866
yajl-ruby,1,25939
unicorn,1,25285
Rack,1,25139
dotenv,1,23005
chunky_png,1,22732
yard,1,21784
docile,1,21736
raindrops,1,21428
hitimes,1,20928
rouge,1,20345
websocket,1,20198
public_suffix,1,20175
pkg-config,1,19651
unf,1,19587
coveralls,1,19003
http_parser.rb,1,18579
unf_ext,1,18555
kgio,1,18057
backports,1,17957
ansi,1,17358
domain_name,1,16571
annotate,1,16415
figaro,1,15902
http-cookie,1,15835
abstract,1,15324
sexp_processor,1,15110
twitter-bootstrap-rails,1,15036
term-ansicolor,1,14772
ruby_parser,1,14589
colorize,1,14586
blankslate,1,14573
nenv,1,14470
foreman,1,14377
pry-byebug,1,14154
json_pure,1,14018
commonjs,1,13407
parslet,1,13350
uuidtools,1,13078
mimemagic,1,12821
powerpack,1,12195
ipaddress,1,12130
fssm,1,12116
debugger,1,12068
metaclass,1,11921
ethon,1,11836
bootstrap-will_paginate,1,11816
dotenv-rails,1,11450
cancan,1,10934
formtastic,1,10203
guard-compat,1,9855
tins,1,9503
spring-commands-rspec,1,8894
cliver,1,8382
rack-cors,1,8275
CFPropertyList,1,8267
WEBSocket,1,8070
unicode-display_width,1,7847
bindex,1,7842
xml-simple,1,7738
request_store,1,7733
font-awesome-sass,1,7559
inflecto,1,7477
htmlentities,1,7448
net-http-persistent,1,7410
growl,1,7312
twitter,1,7097
omniauth-google-oauth2,1,7073
geocoder,1,6796
sprockets-sass,1,6739
libwebsocket,1,6626
hirb,1,6579
rack-livereload,1,6376
forwardable-extended,1,6287
sprockets-helpers,1,6232
pathutil,1,6090
coercible,1,6073
fission,1,6061
serverspec,1,5939
sanitize,1,5938
middleman-livereload,1,5894
rails_layout,1,5871
sequel,1,5835
parallel,1,5828
subexec,1,5746
jekyll-seo-tag,1,5735
astrolabe,1,5720
bullet,1,5605
pry-nav,1,5588
wdm,1,5542
oj,1,5452
uber,1,5243
ruby-hmac,1,5207
syntax,1,5034
ruby-debug19,1,4843
mini_backtrace,1,4562
gon,1,4557
brakeman,1,4531
rack-accept,1,4522
uniform_notifier,1,4402
faye-websocket,1,4330
stripe,1,4319
meta_request,1,4316
fastimage,1,4207
hooks,1,4198
rb-fchange,1,4113
diffy,1,4073
pry-stack_explorer,1,4063
em-http-request,1,4063
state_machine,1,4039
logging,1,4031
escape,1,3911
ruby_dep,1,3862
ejs,1,3780
slack-notifier,1,3766
formtastic_i18n,1,3751
rack-pjax,1,3578
vegas,1,3523
directory_watcher,1,3515
benchmark-ips,1,3512
browser,1,3495
ZenTest,1,3489
escape_utils,1,3451
little-plugger,1,3434
babosa,1,3432
hipchat,1,3414
guard-rubocop,1,3395
ruby2ruby,1,3366
will_paginate-bootstrap,1,3365
capybara-screenshot,1,3333
libnotify,1,3332
rabl,1,3288
net-http-digest_auth,1,3273
charlock_holmes,1,3252
hashdiff,1,3246
rack-attack,1,3160
fuzzy_match,1,3152
pry-debugger,1,3131
linecache19,1,3127
webrobots,1,3119
memoist,1,3061
ruby-debug-base19,1,3059
bundler-audit,1,3048
ruby_core_source,1,3038
rack-oauth2,1,3031
flay,1,2996
pyu-ruby-sasl,1,2946
retriable,1,2933
fabrication,1,2927
cookiejar,1,2889
test_after_commit,1,2881
dotenv-deployment,1,2874
attr_required,1,2869
wikicloth,1,2855
html-proofer,1,2840
middleman-syntax,1,2828
meta_search,1,2824
rack-openid,1,2806
creole,1,2780
dropzonejs-rails,1,2772
jquery-atwho-rails,1,2770
github_api,1,2767
gravatar_image_tag,1,2737
ace-rails-ap,1,2718
em-socksify,1,2681
d3_rails,1,2673
premailer-rails,1,2628
hoe,1,2617
eco,1,2549
terminal-notifier-guard,1,2531
dynamic_form,1,2515
pry-remote,1,2505
gitlab-flowdock-git-hook,1,2461
omniauth-shibboleth,1,2453
gemnasium-gitlab-service,1,2437
autotest,1,2431
acts_as_votable,1,2421
autoparse,1,2404
ckeditor,1,2366
mousetrap-rails,1,2346
contracts,1,2336
spring-commands-spinach,1,2323
log4r,1,2321
librarian,1,2313
omniauth-kerberos,1,2301
omniauth-gitlab,1,2285
ruby_gntp,1,2266
flog,1,2254
angularjs-rails,1,2238
sham_rack,1,2225
cocoon,1,2223
bootstrap,1,2215
vagrant,1,2207
bond,1,2205
rqrcode-rails3,1,2204
asana,1,2203
specinfra,1,2202
expression_parser,1,2198
optionable,1,2176
truncate_html,1,2153
rails_best_practices,1,2150
http-form_data,1,2128
aws-s3,1,2127
spoon,1,2124
koala,1,2115
rotp,1,2103
get_process_mem,1,2094
dragonfly,1,2092
sass-globbing,1,2060
mono_logger,1,2057
bootstrap-datepicker-rails,1,2015
http_router,1,2007
hamster,1,2006
omniauth_crowd,1,1991
gemojione,1,1971
url_mount,1,1960
tux,1,1953
unicode_utils,1,1947
ruby-ole,1,1946
os,1,1941
guard-rake,1,1937
MACAddr,1,1920
fast_blank,1,1917
teaspoon-jasmine,1,1903
after_commit_queue,1,1901
ripl,1,1861
middleman-cli,1,1854
rblineprof,1,1831
nifty-generators,1,1829
twitter-stream,1,1819
rspec_junit_formatter,1,1819
omniauth-multipassword,1,1810
minitest-rails,1,1809
parallel_tests,1,1795
chartkick,1,1793
omniauth-cas3,1,1781
omniauth-bitbucket,1,1781
backbone-on-rails,1,1772
omniauth-azure-oauth2,1,1771
faraday_middleware-multi_json,1,1752
gli,1,1745
currencies,1,1744
six,1,1737
akismet,1,1736
sinatra-flash,1,1735
spring-commands-teaspoon,1,1729
simplecov-rcov,1,1725
