Project,Repo,Project license,Repo License,Sourcerank
Rubygems/racc,https://github.com/tenderlove/racc,MIT,LGPL-2.1,17
Rubygems/scrypt,https://github.com/pbhogan/scrypt,MIT,BSD-3-Clause,16
Rubygems/azure_mgmt_compute,https://github.com/Azure/azure-sdk-for-ruby,MIT,Apache-2.0,15
Rubygems/azure_mgmt_storage,https://github.com/Azure/azure-sdk-for-ruby,MIT,Apache-2.0,15
Rubygems/azure_mgmt_resources,https://github.com/Azure/azure-sdk-for-ruby,MIT,Apache-2.0,15
Rubygems/azure_mgmt_network,https://github.com/Azure/azure-sdk-for-ruby,MIT,Apache-2.0,15
Rubygems/d3_rails,https://github.com/logical42/d3_rails,MIT,BSD-3-Clause,15
Rubygems/kpeg,https://github.com/evanphx/kpeg,MIT,BSD-3-Clause,14
Rubygems/graticule,https://github.com/collectiveidea/graticule,MIT,BSD-3-Clause,14
Rubygems/bio-samtools,https://github.com/helios/bioruby-samtools,MIT,GPL-3.0,14
Rubygems/earth,https://github.com/faradayio/earth,MIT,AGPL-3.0,14
Rubygems/azure_mgmt_sql,https://github.com/Azure/azure-sdk-for-ruby,MIT,Apache-2.0,14
Rubygems/hologram,https://github.com/trulia/hologram,MIT,BSD-3-Clause,14
Rubygems/vagrant-hostmanager,https://github.com/devopsgroup-io/vagrant-hostmanager,MIT,MPL-2.0,14
Rubygems/rbpdf,https://github.com/naitoh/rbpdf,"MIT,GPL-1.0+",LGPL-2.1,13
Rubygems/xero_gateway,https://github.com/xero-gateway/xero_gateway,MIT,ISC,13
Rubygems/sugarcube,https://github.com/fusionbox/sugarcube,MIT,BSD-2-Clause,13
Rubygems/dm-rspec,https://github.com/greyblake/dm-rspec,MIT,LGPL-3.0,13
Rubygems/gender_detector,https://github.com/bmuller/gender_detector,MIT,GPL-3.0,13
Rubygems/em-socksify,https://gitlab.com/mfriedenhagen/trivia,MIT,BSD-2-Clause,12
Rubygems/motion-yaml,https://github.com/HipByte/motion-yaml,MIT,BSD-2-Clause,12
Rubygems/filepicker-rails,https://github.com/filestack/filestack-rails,MIT,Apache-2.0,12
