Name,Gems
tenderlove,53
rafaelfranca,47
cantoniodasilva,41
spastorino,36
eileencodes,35
tas50,35
matthewd,35
kaspth,34
337,34
fxn,34
guilleiguaran,33
webster132,33
geemus,33
benbalter,32
pixeltrix,31
mwrockx,30
schisamo,30
parker,30
chancancode,29
sferik,29
sdanna,28
btm,28
senny,28
thommay,28
paulmooring,28
jkeiser,28
adamleff,28
43081,26
danielsdeleo,26
tomduffield,26
lamont-granquist,26
yzl,26
dkubb,24
ksubramanian,24
tokengeek,21
solnic,21
thoughtbot,20
sethvargo,20
ryanbigg,19
plribeiro3000,18
mbleigh,17
dbussink,17
headius,16
tarcieri,16
snusnu,15
dkubb2,14
josevalim,14
CocoaPods,14
segiddins,14
alfredxing,13
zenspider,13
alloy,13
mcquin,13
690,13
NeoNacho,13
DanToml,13
reset,13
defunkt,12
kylef,12
schneems,12
mrackwitz,12
luislavena,12
parndt,12
grosser,12
PatHawks,12
e2,12
nicksieger,12
enebo,11
ivey,11
sstephenson,11
802,11
wycats,10
olabini,10
kares,10
drbrain,10
bbazzarrakk,10
mbjs,10
ahoward,10
brandon,10
46,10
randx,10
damianlegawiec,10
myronmarston,10
rtomayko,10
irrationalfab,9
rkh,9
joshuaclayton,9
brianmario,9
krames,9
namusyaka,9
mcanevet,9
raphink,9
tdreyno,9
jldec,9
thibaudgg,9
uberzealot,9
science,9
mislav,9
shreeve,8
digitalextremist,8
mikel,8
krainboltgreene,8
croaky,8
JonRowe,8
djberg96,8
banister,8
gitlab_rubygems,8
minam,8
ujifgc,8
durran,8
arunagw,8
mattbrictson,8
alindeman,8
JonLeighton,8
svenfuchs,8
1510,8
cldwalker,8
tcopeland,7
envygeeks,7
JDutil,7
peterberkenbosch,7
technoweenie,7
nwitmer,7
leehambley,7
achiu,7
tim_pease,7
qrush,7
rmm5t,7
laserlemon,7
haus,7
chriseppstein,7
knu,7
tanoku,7
hsbt,7
DAddYE,7
zzak,7
LBRapid,7
bhollis,7
DouweM,7
rymai,7
seuros,6
karelminarik,6
mark-moseley,6
bryckbost,6
flavorjones,6
sporkmonger,6
os97673,6
rubiii,6
YorickPeterse,6
dblock,6
hone,6
austin,6
karmi,6
steveklabnik,6
EmStolfo,6
bf4,6
tjarratt,6
lucasmazza,6
ryanb,6
briandquinn,6
sikachu,6
mhoran,6
mattwynne,6
ConradIrwin,6
marinjankovski,6
jncoward,6
44028,5
trevorrowe,5
yaauie,5
Hunner,5
retro,5
3176,5
samphippen,5
melissa,5
minad,5
aslakhellesoy,5
ugisozols,5
bradejr,5
3424,5
normalperson,5
robyurkowski,5
tubbo,5
jodosha,5
2236,5
gjtorikian,5
imathis,5
djanowski,5
brynary,5
delano,5
cowboyd,5
toy_toy,5
leejarvis,5
nex3,5
nahi,5
a_matsuda,5
tricknotes,5
Kirs,5
geekoncoffee,5
orta,5
mike-burns,5
geoffnichols,5
jimweirich,5
mfazekas,5
awscloud,5
binarywaterfall,5
vsizov,5
underscorgan,5
jnunemaker,4
timoschilling,4
shashank,4
dchelimsky,4
compay,4
wayneeseguin,4
rwjblue,4
ezmobius,4
wyhaines,4
michaelklishin,4
mental,4
mattr-,4
jcoglan,4
jduff,4
kou,4
voxpupuli,4
scottdavis,4
mojombo,4
flori,4
georgeguimaraes,4
stahnma,4
flyerhzm,4
travisjeffery,4
rspeicher,4
ernie,4
indirect,4
ScottGarman,4
RyanMcKern,4
apotonick,4
jarib,4
TomClements,4
alexdunae,4
metaskills,4
packetmonkey,4
pointlessone,4
chronomantic,4
nigelkersten,4
jdantonio,4
xaviershay,4
rodjek,4
deivid,4
igrigorik,4
pitr-ch,4
phasis68,4
mperham,4
smtlaissezfaire,3
smurawski,3
wagenet,3
fivetanley,3
cheeseplus,3
tysongach,3
jacobvosmaer-gitlab,3
pom,3
tjholowaychuk,3
jashkenas,3
zedshaw,3
filipe,3
evn,3
cosmo0920,3
chneukirchen,3
coderanger,3
789,3
ged,3
mshibuya,3
searls,3
jfirebaugh,3
rstacruz,3
larskanis,3
rweng,3
sj26,3
ankane,3
kbrock,3
pauldix,3
arthurnn,3
bragboy,3
nz,3
rywall,3
outoftime,3
njakobsen,3
adamwiggins,3
bmizerany,3
mwaggett,3
bartkamphorst,3
dometto,3
rgrove,3
hongli,3
trevorturk,3
Sean,3
transami,3
kivikakk,3
colszowka,3
frsyuki,3
cjheath,3
btakita,3
cardmagic,3
Dennis,3
nateberkopec,3
shopify-shipit,3
fredwu,3
mloughran,3
nixme,3
yujinakayama,3
zentourist,3
tbetbetbe,3
tooky,3
weppos,3
lautis,3
bradediger,3
jhealy,3
tnm,3
ddfreyne,3
thekompanee,3
samuelkadolph,3
antstorm,3
semmons99,3
alup,3
kyrylo,3
44994,3
2875,3
Markiz,3
Pivotal,3
afiune,3
codegram,3
josepjaume,3
charliesome,3
jankowski,3
ryanf,3
glebm,3
sodabrew,3
ixti,3
joshbuddy,3
jyurek,3
myabc,3
brigade,3
sds,3
blowmage,3
jordansissel,3
twalpole,3
dickeyxxx,3
machty,3
p0deje,2
bdurand,2
noahd1,2
akzhan,2
jhawthorn,2
jamieoliver,2
bozhidar,2
fernandes,2
billymonk,2
bernerdschaefer,2
psadauskas,2
pkuczynski,2
mortonpe,2
sbfaulkner,2
kent,2
andersl,2
enDal,2
DavidS,2
etagwerker,2
bmabey,2
smhuber,2
saghaulor,2
lest,2
brasmusson,2
josephwilk,2
htonl,2
msassak,2
Tigrish,2
kwatch,2
henrikhodne,2
Azure,2
kossnocorp,2
temp_account,2
matt_a,2
wojtekmach,2
bensie,2
hotdogpixels,2
mhayes,2
sahilm,2
thedeerchild,2
timcharper,2
tomash,2
kattrali,2
techpickles,2
Sirupsen,2
kuroda,2
bcardarella,2
mka,2
meatballhat,2
kommen,2
unicorn_bdfl,2
jaredbeck,2
hassox,2
imajes,2
railsjedi,2
blackhedd,2
bluejade,2
1705,2
hgmnz,2
jonsgreen,2
jonatack,2
csanchez,2
lkanies,2
raggi,2
tomaso_tosolini,2
thedarkone,2
azure-rb,2
nov,2
jmettraux,2
PikachuEXE,2
jgraichen,2
olithoughtbot,2
piki,2
jwall149,2
soveran,2
43558,2
badboy_,2
whitequark,2
judofyr,2
44169,2
mikepack,2
fnando,2
petebrowne,2
IgorF,2
imanel,2
dgoodlad,2
unixmonkey,2
stevenosloan,2
43148,2
tilsammans,2
nashby,2
wfarr,2
jbarnette,2
tduehr,2
gabebw,2
3484,2
OdorcicD,2
acrmp,2
calebsimpson,2
bluemonk,2
colinsurprenant,2
mathieu,2
elastic,2
ianwhite,2
googleapis-packages,2
dougalcorn,2
mcmire,2
ioquatix,2
PhilRoss,2
puppetlabs-jenkins,2
janlelis,2
binarylogic,2
hatefulcrawdad,2
k_tsj,2
jch,2
rwz,2
PiersC,2
jangosteve,2
tmm1,2
rogerdpack,2
packagethief,2
postmodern,2
mahlon,2
stanhu,2
1137,2
infews,2
977,2
route,2
slackersoft,2
sheelc,2
Manfred,2
thijs,2
123,2
adzap,2
yfeldblum,2
stympy,2
gregbell,2
drapergeek,2
seanlinsley,2
danielmorrison,2
pcreux,2
wvanbergen,2
gsamokovarov,2
codahale,2
waldyr,2
tjschuck,2
ttilley,2
LeFnord,2
maxd,2
alan,2
scottjg,2
chrisccerami,2
atmos,2
jjh,2
ch4s3,2
1078,2
ransombriggs,2
derekprior,2
technomancy,2
ddollar,2
ctshryock,2
44423,2
kaishin,2
dpiddy,2
rosejn,2
pbattley,2
mpapis,2
940,2
quirkey,2
bootstraponline,2
mdarby,2
cfis,2
kowsalyapalaniappan,2
pjhyett,2
mpalmer,2
tmilewski,2
nricciar,2
mldeering,2
gosukenator,2
svoop,2
whmii,2
mitchellh,2
roscopeco,2
mdub,2
voloko,2
ndbroadbent,2
schacon,2
albus522,2
beauby,2
hcatlin,2
chef,2
PragTob,2
45014,2
marshall-lee,2
tagomoris,2
bigxiang,2
alex_simonov,2
okidokim,2
thejameskyle,2
babel,2
1310,2
jtrupiano,2
janko-m,2
nathansobo,2
cheald,2
nkallen,2
manderson26,2
mtodd,2
jrgarcia,2
i0rek,2
dejan,2
xal,2
jamesmacaulay,2
asarih,2
drogus,2
evan,2
wardpenney,2
jackfranklin,2
dg-ratiodata,2
freelancing_god,2
pusher,2
aroben,2
stereobooster,2
kevwil,2
IYBetesh,2
chrisk,2
lattice,2
johnbintz,2
doabit,2
yannlugrin,2
wmorgan,2
joecorcoran,2
phurley,2
JEG2,2
JoshRobinson,2
applerebel,2
titusfortner,2
tutec,2
KrauseFx,2
DHL,1
zaiste,1
fixlr,1
cliffbraton,1
jcasimir,1
athix,1
Arnvald,1
NoamB,1
sandrot,1
alexreisner,1
jimmycuadra,1
GBH,1
colbygk,1
ricardodovalle,1
lucas,1
coderhs,1
mattheworiordan,1
notahat,1
45152,1
dmke,1
errplane,1
jvshahid,1
eval,1
cgriego,1
repeatedly,1
juliamae,1
dhamidi,1
seeflanigan,1
mvanholstyn,1
artemk,1
nickmerwin,1
kpumuk,1
gylaz,1
tvaughan,1
karlfreeman,1
hamstarr,1
43925,1
45452,1
leshill,1
ariedler,1
thiedem,1
assaf,1
shino,1
stjepan_hadjic,1
mikong,1
gabskoro,1
dariocravero,1
excpt,1
progrium,1
sbounmy,1
cdwort,1
jdpace,1
devinwalters,1
